word,score
great,0.9909649795729368
not,-0.8892512282255898
work,-0.5964529489656515
excellent,0.5511979833116732
price,0.5200835145601981
t,-0.48296649504756556
works,0.4588148693046626
good,0.412040004602935
waste,-0.33773765559127467
money,-0.3241840008304429
out,-0.30364782540458274
fast,0.3002419750996612
fine,0.29657024771746116
love,0.29121941811744934
back,-0.28610282017315014
best,0.2853130091376316
after,-0.28476818759591094
not_work,-0.2718069524055798
junk,-0.2704706766501409
very,0.2683298091146842
bad,-0.2650085623048798
you,0.2617057074145689
perfect,0.25907530531473777
buy,-0.2547818952722646
value,0.25052869604118994
cheap,-0.24782038179091728
easy,0.24649040229377625
return,-0.24540959891577682
product,0.24012413559124418
it_works,0.2372470616647633
no_problems,0.22881903437877318
nice,0.22813555031047533
piece,-0.2250493935130798
too,-0.2225047021809815
highly,0.2197248458870055
buy_the,-0.21810040628701333
this_item,-0.21723544395389244
garmin,0.21483842444399354
this_thing,-0.21391164143495076
hard_to,-0.2085682088201181
poor,-0.2057967389689931
if,-0.20521282957397538
used,0.2023832145835345
easy_to,0.20056786723119444
the_best,0.1997944493997497
but_not,0.19585822809866543
computer,-0.1944227890665425
very_good,0.1919753989193444
cd,-0.1902123036177069
use,0.1887437502325777
t_work,-0.18637064456973193
the_price,0.18518599100288968
ink,0.18319514185762037
quality,0.17889392867686552
stopped,-0.17600192626366115
great_product,0.17550859979634786
small,0.17299779451980146
perfectly,0.1703389692097649
hard,-0.17033607789472388
other,0.17010432062858094
m,-0.17010178841082194
a_lot,0.1700435932983288
lot,0.1700435932983288
i_have,0.16932395954673835
failed,-0.1683772063285125
weeks,-0.16801089090607874
static,-0.16781259154700956
flimsy,-0.16769941632969151
not_the,0.16769837002709923
pretty,0.16744653187341776
useless,-0.16503631070530417
comfortable,0.1643864827027333
recorder,-0.16373246060301652
it_back,-0.163562105863561
things,-0.16318127455566717
hold,-0.16239471152851997
expected,0.1610090199729361
breaking,-0.16088900730188704
i_love,0.15917801615706054
my,0.15895426357177722
not_worth,-0.1588655772226494
problems,0.15876389150946266
working,-0.15850859495544728
first,-0.15827362102760617
adapter,0.1581093874365253
magenta,-0.15790165336365364
s,0.15787022178120927
a_problem,0.15731060746255754
unit,-0.156304480393133
waste_of,-0.1562102249511955
cds,-0.15618072263249472
say,0.1558581824246749
transfer,-0.15580005463823535
extremely,-0.15553940841973354
problem_with,0.1540357972274319
ordered,0.1537943642204666
no,0.15335281424006963
hear,-0.15332153606727686
cord,-0.15282939198433432
did_not,-0.15113860563909776
little,0.15064341993871502
still,-0.15045611721864063
worked,-0.14882764207839394
hp,0.14845701672086736
careful,-0.14839882297374896
your,-0.14781439029502302
quite,0.14751595818500798
i_had,-0.14527135310539221
cannot,-0.1443694006529473
waste_your,-0.14343733937205444
type,-0.14194463840868762
far,0.14154699720309394
over,0.14082621476235593
of_them,-0.14035082751511033
does_not,-0.14008951434708164
go,0.13972806696005421
worthless,-0.13959467671582687
might,-0.13906225139103362
using_it,0.13902782293385824
way,-0.13727396801445968
printer,0.1365106122039991
to_return,-0.13650685390446807
broken,-0.13604862279128835
sure,-0.13598549339632407
fantastic,0.13574729343865966
awesome,0.1349803819546592
put,-0.13383271506827937
terrible,-0.1333330451143281
even,-0.13310780366797925
now,-0.13287684288666501
corrupted,-0.13287619056823044
ship,-0.13282915386026117
to_ship,-0.13282915386026117
sucks,-0.13280193444153066
give,-0.13273632588204984
apple,-0.13268989897203268
airport,-0.13230227023318047
job,0.13216226328230718
piece_of,-0.13137201086869524
to_transfer,-0.13077614928056763
music,-0.13051575411213467
credit,-0.13023696321380338
fast_and,0.12973632135428126
verbatim,-0.1295434918142254
for_your,0.12904040916654538
beware,-0.1289316206336342
band,-0.1288313204702058
purchased,-0.1281245884575413
discs,-0.12757973727714833
never,-0.127377710844831
keeps,-0.1268458444185023
memory,0.12612456952636208
two,-0.1258873662306366
from_reading,-0.12562285955643196
solid,0.12527121556688867
keeps_breaking,-0.12516257694189575
the_sound,-0.1251250254798869
barely,-0.12499543258407193
pleased,0.12434242256364034
wall,-0.12415074760165815
than,0.12378198629358164
case,0.12310529658453928
x,-0.12303099378177913
like,0.12290451586656784
paper,0.12272033819324868
cartridge,0.1224297515301153
better_than,0.12240068679843567
yet,0.12195379794001625
batteries,0.12180620244998974
as_expected,0.12121084448104476
wrong,0.12091418545623081
really,-0.12065894705364033
problem,0.12029883342586929
works_as,0.11998612840376652
voice,-0.11951153270284234
accessory,0.11941438024386898
delivered,-0.11918379009647773
seemed,-0.11916596684613252
setup,-0.11898325023289744
try,-0.11855502227011679
minutes,-0.11847075056194435
_minutes,-0.11847075056194435
card_failed,-0.11821294254464111
when_you,0.11803102873759994
reliable,0.11788073618362857
_months,-0.11774538800262847
then,-0.11749136530497964
free,0.11683019043770365
is_great,0.11621874437805528
work_with,-0.11618637444494224
year,-0.11613583513086918
i_use,0.11598383788175541
when_i,-0.11476778721196974
should,0.11459959922448613
your_money,-0.11428875029306917
design_flaw,-0.11405333367644604
flaw,-0.11405333367644604
worked_perfectly,0.11371441853674992
but_i,-0.11347541854569583
highly_recommend,0.11338284414097367
a_great,0.11277925228137037
using,0.1126923638642775
support,-0.1124529941729568
the_sandisk,0.11193698171183568
t_buy,-0.11183688141525036
want,0.11172206949579361
per,0.11164441448950355
basic,0.11146903908703827
thing,-0.11093914934033634
uncomfortable,-0.11087684644357672
good_value,0.11050036623623771
pc,0.11027501467521184
on_time,-0.11018016792164774
went,-0.10959094839412954
am_not,-0.109491348367109
have_used,0.10948103045002755
soon,-0.10929243576331554
wiring,-0.10916799905322626
my_money,-0.1091276238141712
pictures,-0.10898355679111518
tried,-0.10883705529220754
eight,-0.10883396738718548
epson,0.1086946601429256
expectations,-0.10845209967559366
broke,-0.10822604072657714
disappointed,-0.10797526205600434
have_not,0.10764797805037095
horrible,-0.10731646006542976
might_be,-0.10710198179202275
use_easy,-0.10673110918955712
results,-0.10673110918955712
great_results,-0.10673110918955712
expectations_and,-0.10673110918955712
320m,-0.10673110918955712
meets_all,-0.10673110918955712
and_moreeasy,-0.10673110918955712
recorder_meets,-0.10673110918955712
transfer_great,-0.10673110918955712
meets,-0.10673110918955712
the_voice,-0.10673110918955712
olympus,-0.10673110918955712
moreeasy,-0.10673110918955712
voice_recorder,-0.10673110918955712
moreeasy_to,-0.10673110918955712
item,-0.10632782028094442
ve,0.10620809964189193
arm,-0.1060879187709411
not_happy,-0.10573023432440007
works_fine,0.10550742787460786
ends,-0.10527747680433709
the_magenta,-0.1052677689091019
will_not,-0.10515893830602589
slide,-0.10484027525451782
i_knew,-0.10483454557822078
knew,-0.10483454557822078
wonderful,0.10452657220440868
re,-0.10442538617564796
design,-0.10426939820458837
canon,0.1039959499177729
unusable,-0.10389092736583656
several,-0.10387113155917838
of_money,-0.10353159130763874
a_little,0.10253502390329612
look_at,-0.10251964610373282
a_few,0.10247101087472162
bad_quality,-0.10205262548179815
please,-0.10199928202003045
reading,-0.1018640018855644
better,-0.10173857481634187
and_i,0.10170412682156629
super,0.10145930047444425
and_still,-0.10136588810826665
power,0.10132525891487836
returning,-0.10070199154989593
ordered_i,0.10043760801728963
video,0.09999296986201148
been_using,0.09944417116098482
less_than,-0.09930377043606792
pictures_from,-0.09908056337070757
ready,-0.09886754957025738
something_that,-0.09876662898643603
magellan,-0.09858617964394963
external,-0.09857902309717864
just_fine,0.09855165036570919
poor_quality,-0.09847660093127891
the_two,-0.09836652714436946
however,0.09832628591198264
something,-0.09811404459717595
great_value,0.09803491101370239
is_really,-0.0978993595488718
install_cd,-0.09771088720102941
viruses,-0.09771088720102941
never_received,-0.09753112188009393
as_well,0.09749642095298934
right,0.09689429424228382
love_it,0.0965453201972068
value_for,0.09654260903880854
not_solid,0.09646775922429524
t_waste,-0.09646171471833039
i_ordered,0.0962541676863461
including,0.09540358124890201
a_piece,-0.09534104612921904
was_too,-0.09500627315275262
and_cannot,-0.09488801346145152
bucks,-0.09484604663537732
my_expectations,-0.09478980108601935
this_armband,-0.09476481836610248
the_band,-0.09476481836610248
close,0.09472767230351418
while,-0.09442235838060949
doing,0.09434184913802972
mac,0.09422716128949009
you_can,0.09409392138636587
any_problems,0.09403059015195145
purchased_the,-0.09381452967585205
for_me,-0.09353458754394406
come_with,-0.09353333007087428
exactly,0.09349375417300035
not_hear,-0.09312751402085102
your_music,-0.09277486768911689
